2024-12-16 04:02:06,717 - INFO - load model from: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-16 04:02:06,718 - INFO - load checkpoint from http path: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-16 04:04:04,972 - INFO - Epoch [1/60], Train Loss: 3.9442
2024-12-16 04:04:41,079 - INFO - Epoch [1/60], Validation Accuracy: 0.1353
2024-12-16 04:06:35,086 - INFO - Epoch [2/60], Train Loss: 3.8382
2024-12-16 04:07:11,433 - INFO - Epoch [2/60], Validation Accuracy: 0.2791
2024-12-16 04:09:04,887 - INFO - Epoch [3/60], Train Loss: 3.7120
2024-12-16 04:09:41,305 - INFO - Epoch [3/60], Validation Accuracy: 0.3516
2024-12-16 04:11:35,064 - INFO - Epoch [4/60], Train Loss: 3.6111
2024-12-16 04:12:11,374 - INFO - Epoch [4/60], Validation Accuracy: 0.3863
2024-12-16 04:14:05,221 - INFO - Epoch [5/60], Train Loss: 3.5294
2024-12-16 04:14:42,088 - INFO - Epoch [5/60], Validation Accuracy: 0.4510
2024-12-16 04:16:35,684 - INFO - Epoch [6/60], Train Loss: 3.4473
2024-12-16 04:17:12,515 - INFO - Epoch [6/60], Validation Accuracy: 0.4667
2024-12-16 04:19:06,432 - INFO - Epoch [7/60], Train Loss: 3.4030
2024-12-16 04:19:43,162 - INFO - Epoch [7/60], Validation Accuracy: 0.4745
2024-12-16 04:21:36,820 - INFO - Epoch [8/60], Train Loss: 3.3033
2024-12-16 04:22:13,614 - INFO - Epoch [8/60], Validation Accuracy: 0.5065
2024-12-16 04:24:07,080 - INFO - Epoch [9/60], Train Loss: 3.2615
2024-12-16 04:24:43,827 - INFO - Epoch [9/60], Validation Accuracy: 0.5261
2024-12-16 04:26:37,593 - INFO - Epoch [10/60], Train Loss: 3.1769
2024-12-16 04:27:14,315 - INFO - Epoch [10/60], Validation Accuracy: 0.5549
2024-12-16 04:29:07,790 - INFO - Epoch [11/60], Train Loss: 3.1166
2024-12-16 04:29:44,616 - INFO - Epoch [11/60], Validation Accuracy: 0.5627
2024-12-16 04:31:38,306 - INFO - Epoch [12/60], Train Loss: 3.0918
2024-12-16 04:32:15,120 - INFO - Epoch [12/60], Validation Accuracy: 0.5797
2024-12-16 04:34:08,773 - INFO - Epoch [13/60], Train Loss: 3.0623
2024-12-16 04:34:45,805 - INFO - Epoch [13/60], Validation Accuracy: 0.6052
2024-12-16 04:36:39,502 - INFO - Epoch [14/60], Train Loss: 2.9923
2024-12-16 04:37:16,425 - INFO - Epoch [14/60], Validation Accuracy: 0.6085
2024-12-16 04:39:09,916 - INFO - Epoch [15/60], Train Loss: 2.9487
2024-12-16 04:39:46,758 - INFO - Epoch [15/60], Validation Accuracy: 0.6320
2024-12-16 04:41:40,543 - INFO - Epoch [16/60], Train Loss: 2.9036
2024-12-16 04:42:17,344 - INFO - Epoch [16/60], Validation Accuracy: 0.6373
2024-12-16 04:44:11,182 - INFO - Epoch [17/60], Train Loss: 2.8630
2024-12-16 04:44:48,118 - INFO - Epoch [17/60], Validation Accuracy: 0.6418
2024-12-16 04:46:41,407 - INFO - Epoch [18/60], Train Loss: 2.8551
2024-12-16 04:47:18,100 - INFO - Epoch [18/60], Validation Accuracy: 0.6588
2024-12-16 04:49:11,740 - INFO - Epoch [19/60], Train Loss: 2.7961
2024-12-16 04:49:48,679 - INFO - Epoch [19/60], Validation Accuracy: 0.6660
2024-12-16 04:51:42,400 - INFO - Epoch [20/60], Train Loss: 2.7472
2024-12-16 04:52:19,392 - INFO - Epoch [20/60], Validation Accuracy: 0.6614
2024-12-16 04:54:12,724 - INFO - Epoch [21/60], Train Loss: 2.7453
2024-12-16 04:54:49,431 - INFO - Epoch [21/60], Validation Accuracy: 0.6699
2024-12-16 04:56:43,177 - INFO - Epoch [22/60], Train Loss: 2.6740
2024-12-16 04:57:19,965 - INFO - Epoch [22/60], Validation Accuracy: 0.6876
