2024-12-19 05:18:41,149 - INFO - load model from: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-19 05:18:41,150 - INFO - load checkpoint from http path: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-19 05:20:39,041 - INFO - Epoch [1/60], Train Loss: 3.9273
2024-12-19 05:21:15,133 - INFO - Epoch [1/60], Validation Accuracy: 0.2431
2024-12-19 05:23:08,947 - INFO - Epoch [2/60], Train Loss: 3.7164
2024-12-19 05:23:45,349 - INFO - Epoch [2/60], Validation Accuracy: 0.4072
2024-12-19 05:25:38,413 - INFO - Epoch [3/60], Train Loss: 3.4960
2024-12-19 05:26:15,018 - INFO - Epoch [3/60], Validation Accuracy: 0.5183
2024-12-19 05:28:08,029 - INFO - Epoch [4/60], Train Loss: 3.3269
2024-12-19 05:28:44,835 - INFO - Epoch [4/60], Validation Accuracy: 0.5601
2024-12-19 05:30:37,654 - INFO - Epoch [5/60], Train Loss: 3.1610
2024-12-19 05:31:14,458 - INFO - Epoch [5/60], Validation Accuracy: 0.6196
2024-12-19 05:33:07,905 - INFO - Epoch [6/60], Train Loss: 3.0293
2024-12-19 05:33:44,528 - INFO - Epoch [6/60], Validation Accuracy: 0.6425
2024-12-19 05:35:37,440 - INFO - Epoch [7/60], Train Loss: 2.8846
2024-12-19 05:36:14,047 - INFO - Epoch [7/60], Validation Accuracy: 0.6673
2024-12-19 05:38:07,530 - INFO - Epoch [8/60], Train Loss: 2.7785
2024-12-19 05:38:44,255 - INFO - Epoch [8/60], Validation Accuracy: 0.6804
2024-12-19 05:40:37,196 - INFO - Epoch [9/60], Train Loss: 2.6575
2024-12-19 05:41:13,839 - INFO - Epoch [9/60], Validation Accuracy: 0.6948
2024-12-19 05:43:06,877 - INFO - Epoch [10/60], Train Loss: 2.5604
2024-12-19 05:43:43,566 - INFO - Epoch [10/60], Validation Accuracy: 0.6967
2024-12-19 05:45:36,506 - INFO - Epoch [11/60], Train Loss: 2.4791
2024-12-19 05:46:13,173 - INFO - Epoch [11/60], Validation Accuracy: 0.7150
2024-12-19 05:48:06,452 - INFO - Epoch [12/60], Train Loss: 2.4002
2024-12-19 05:48:43,091 - INFO - Epoch [12/60], Validation Accuracy: 0.7235
2024-12-19 05:50:36,731 - INFO - Epoch [13/60], Train Loss: 2.3613
2024-12-19 05:51:13,226 - INFO - Epoch [13/60], Validation Accuracy: 0.7124
2024-12-19 05:53:06,423 - INFO - Epoch [14/60], Train Loss: 2.3010
2024-12-19 05:53:43,271 - INFO - Epoch [14/60], Validation Accuracy: 0.7405
2024-12-19 05:55:36,625 - INFO - Epoch [15/60], Train Loss: 2.2393
2024-12-19 05:56:13,487 - INFO - Epoch [15/60], Validation Accuracy: 0.7510
2024-12-19 05:58:06,708 - INFO - Epoch [16/60], Train Loss: 2.2128
2024-12-19 05:58:43,442 - INFO - Epoch [16/60], Validation Accuracy: 0.7556
2024-12-19 06:00:37,075 - INFO - Epoch [17/60], Train Loss: 2.1219
2024-12-19 06:01:13,842 - INFO - Epoch [17/60], Validation Accuracy: 0.7484
2024-12-19 06:03:07,050 - INFO - Epoch [18/60], Train Loss: 2.1209
2024-12-19 06:03:43,919 - INFO - Epoch [18/60], Validation Accuracy: 0.7595
2024-12-19 06:05:36,807 - INFO - Epoch [19/60], Train Loss: 2.0762
2024-12-19 06:06:13,522 - INFO - Epoch [19/60], Validation Accuracy: 0.7595
2024-12-19 06:08:07,178 - INFO - Epoch [20/60], Train Loss: 2.0299
2024-12-19 06:08:43,898 - INFO - Epoch [20/60], Validation Accuracy: 0.7562
2024-12-19 06:10:37,202 - INFO - Epoch [21/60], Train Loss: 2.0266
2024-12-19 06:11:13,955 - INFO - Epoch [21/60], Validation Accuracy: 0.7608
2024-12-19 06:13:07,139 - INFO - Epoch [22/60], Train Loss: 1.9757
2024-12-19 06:13:43,806 - INFO - Epoch [22/60], Validation Accuracy: 0.7641
2024-12-19 06:15:37,418 - INFO - Epoch [23/60], Train Loss: 1.9712
2024-12-19 06:16:14,300 - INFO - Epoch [23/60], Validation Accuracy: 0.7739
2024-12-19 06:18:07,448 - INFO - Epoch [24/60], Train Loss: 1.9236
2024-12-19 06:18:44,066 - INFO - Epoch [24/60], Validation Accuracy: 0.7601
2024-12-19 06:20:37,130 - INFO - Epoch [25/60], Train Loss: 1.9196
2024-12-19 06:21:13,980 - INFO - Epoch [25/60], Validation Accuracy: 0.7549
2024-12-19 06:23:07,508 - INFO - Epoch [26/60], Train Loss: 1.9008
2024-12-19 06:23:44,277 - INFO - Epoch [26/60], Validation Accuracy: 0.7627
2024-12-19 06:25:37,383 - INFO - Epoch [27/60], Train Loss: 1.8833
2024-12-19 06:26:14,155 - INFO - Epoch [27/60], Validation Accuracy: 0.7641
2024-12-19 06:28:07,815 - INFO - Epoch [28/60], Train Loss: 1.8494
2024-12-19 06:28:44,554 - INFO - Epoch [28/60], Validation Accuracy: 0.7588
2024-12-19 06:30:37,735 - INFO - Epoch [29/60], Train Loss: 1.8163
2024-12-19 06:31:14,480 - INFO - Epoch [29/60], Validation Accuracy: 0.7660
2024-12-19 06:33:07,299 - INFO - Epoch [30/60], Train Loss: 1.8025
2024-12-19 06:33:44,137 - INFO - Epoch [30/60], Validation Accuracy: 0.7510
2024-12-19 06:35:37,492 - INFO - Epoch [31/60], Train Loss: 1.7869
2024-12-19 06:36:14,271 - INFO - Epoch [31/60], Validation Accuracy: 0.7627
2024-12-19 06:38:07,265 - INFO - Epoch [32/60], Train Loss: 1.7766
2024-12-19 06:38:44,279 - INFO - Epoch [32/60], Validation Accuracy: 0.7693
2024-12-19 06:40:37,527 - INFO - Epoch [33/60], Train Loss: 1.7476
2024-12-19 06:41:14,349 - INFO - Epoch [33/60], Validation Accuracy: 0.7765
2024-12-19 06:43:07,646 - INFO - Epoch [34/60], Train Loss: 1.7398
2024-12-19 06:43:44,496 - INFO - Epoch [34/60], Validation Accuracy: 0.7641
2024-12-19 06:45:37,781 - INFO - Epoch [35/60], Train Loss: 1.7569
2024-12-19 06:46:14,684 - INFO - Epoch [35/60], Validation Accuracy: 0.7569
2024-12-19 06:48:08,169 - INFO - Epoch [36/60], Train Loss: 1.6989
2024-12-19 06:48:44,621 - INFO - Epoch [36/60], Validation Accuracy: 0.7621
2024-12-19 06:50:37,851 - INFO - Epoch [37/60], Train Loss: 1.6899
2024-12-19 06:51:14,694 - INFO - Epoch [37/60], Validation Accuracy: 0.7758
2024-12-19 06:53:08,001 - INFO - Epoch [38/60], Train Loss: 1.6901
2024-12-19 06:53:44,751 - INFO - Epoch [38/60], Validation Accuracy: 0.7582
2024-12-19 06:55:37,894 - INFO - Epoch [39/60], Train Loss: 1.6815
2024-12-19 06:56:14,740 - INFO - Epoch [39/60], Validation Accuracy: 0.7569
2024-12-19 06:58:07,445 - INFO - Epoch [40/60], Train Loss: 1.6462
2024-12-19 06:58:44,405 - INFO - Epoch [40/60], Validation Accuracy: 0.7497
2024-12-19 07:00:38,011 - INFO - Epoch [41/60], Train Loss: 1.6353
2024-12-19 07:01:14,742 - INFO - Epoch [41/60], Validation Accuracy: 0.7595
2024-12-19 07:03:08,180 - INFO - Epoch [42/60], Train Loss: 1.6641
2024-12-19 07:03:45,018 - INFO - Epoch [42/60], Validation Accuracy: 0.7627
2024-12-19 07:05:38,101 - INFO - Epoch [43/60], Train Loss: 1.6135
2024-12-19 07:06:15,019 - INFO - Epoch [43/60], Validation Accuracy: 0.7608
2024-12-19 07:08:07,825 - INFO - Epoch [44/60], Train Loss: 1.6015
2024-12-19 07:08:44,754 - INFO - Epoch [44/60], Validation Accuracy: 0.7484
2024-12-19 07:10:38,514 - INFO - Epoch [45/60], Train Loss: 1.5882
2024-12-19 07:11:15,230 - INFO - Epoch [45/60], Validation Accuracy: 0.7601
2024-12-19 07:13:09,163 - INFO - Epoch [46/60], Train Loss: 1.5890
2024-12-19 07:13:45,896 - INFO - Epoch [46/60], Validation Accuracy: 0.7575
2024-12-19 07:15:39,013 - INFO - Epoch [47/60], Train Loss: 1.5738
2024-12-19 07:16:15,842 - INFO - Epoch [47/60], Validation Accuracy: 0.7503
2024-12-19 07:18:09,583 - INFO - Epoch [48/60], Train Loss: 1.6014
2024-12-19 07:18:46,369 - INFO - Epoch [48/60], Validation Accuracy: 0.7549
2024-12-19 07:20:39,647 - INFO - Epoch [49/60], Train Loss: 1.5457
2024-12-19 07:21:16,449 - INFO - Epoch [49/60], Validation Accuracy: 0.7536
