2024-12-18 03:43:37,424 - INFO - load model from: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-18 03:43:37,425 - INFO - load checkpoint from http path: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-18 03:45:36,523 - INFO - Epoch [1/60], Train Loss: 3.9241
2024-12-18 03:46:12,583 - INFO - Epoch [1/60], Validation Accuracy: 0.2608
2024-12-18 03:48:06,149 - INFO - Epoch [2/60], Train Loss: 3.7133
2024-12-18 03:48:42,388 - INFO - Epoch [2/60], Validation Accuracy: 0.4392
2024-12-18 03:50:35,874 - INFO - Epoch [3/60], Train Loss: 3.4823
2024-12-18 03:51:12,587 - INFO - Epoch [3/60], Validation Accuracy: 0.5026
2024-12-18 03:53:05,260 - INFO - Epoch [4/60], Train Loss: 3.3055
2024-12-18 03:53:42,206 - INFO - Epoch [4/60], Validation Accuracy: 0.5425
2024-12-18 03:55:35,123 - INFO - Epoch [5/60], Train Loss: 3.1431
2024-12-18 03:56:12,084 - INFO - Epoch [5/60], Validation Accuracy: 0.5817
2024-12-18 03:58:05,121 - INFO - Epoch [6/60], Train Loss: 3.0072
2024-12-18 03:58:41,692 - INFO - Epoch [6/60], Validation Accuracy: 0.5935
2024-12-18 04:00:34,416 - INFO - Epoch [7/60], Train Loss: 2.8860
2024-12-18 04:01:11,284 - INFO - Epoch [7/60], Validation Accuracy: 0.6150
2024-12-18 04:03:04,552 - INFO - Epoch [8/60], Train Loss: 2.7702
2024-12-18 04:03:40,986 - INFO - Epoch [8/60], Validation Accuracy: 0.6549
2024-12-18 04:05:33,912 - INFO - Epoch [9/60], Train Loss: 2.6765
2024-12-18 04:06:10,949 - INFO - Epoch [9/60], Validation Accuracy: 0.6869
2024-12-18 04:08:04,290 - INFO - Epoch [10/60], Train Loss: 2.5707
2024-12-18 04:08:41,244 - INFO - Epoch [10/60], Validation Accuracy: 0.6987
2024-12-18 04:10:34,902 - INFO - Epoch [11/60], Train Loss: 2.4743
2024-12-18 04:11:11,674 - INFO - Epoch [11/60], Validation Accuracy: 0.7013
2024-12-18 04:13:04,792 - INFO - Epoch [12/60], Train Loss: 2.4373
2024-12-18 04:13:41,613 - INFO - Epoch [12/60], Validation Accuracy: 0.7209
2024-12-18 04:15:35,097 - INFO - Epoch [13/60], Train Loss: 2.3599
2024-12-18 04:16:12,060 - INFO - Epoch [13/60], Validation Accuracy: 0.7261
2024-12-18 04:18:05,345 - INFO - Epoch [14/60], Train Loss: 2.3195
2024-12-18 04:18:42,264 - INFO - Epoch [14/60], Validation Accuracy: 0.7405
2024-12-18 04:20:35,044 - INFO - Epoch [15/60], Train Loss: 2.2387
2024-12-18 04:21:11,978 - INFO - Epoch [15/60], Validation Accuracy: 0.7418
2024-12-18 04:23:05,407 - INFO - Epoch [16/60], Train Loss: 2.1915
2024-12-18 04:23:42,256 - INFO - Epoch [16/60], Validation Accuracy: 0.7444
2024-12-18 04:25:35,461 - INFO - Epoch [17/60], Train Loss: 2.1506
2024-12-18 04:26:12,194 - INFO - Epoch [17/60], Validation Accuracy: 0.7536
2024-12-18 04:28:05,763 - INFO - Epoch [18/60], Train Loss: 2.1360
2024-12-18 04:28:42,670 - INFO - Epoch [18/60], Validation Accuracy: 0.7575
2024-12-18 04:30:35,998 - INFO - Epoch [19/60], Train Loss: 2.0751
2024-12-18 04:31:13,049 - INFO - Epoch [19/60], Validation Accuracy: 0.7608
2024-12-18 04:33:06,182 - INFO - Epoch [20/60], Train Loss: 2.0515
2024-12-18 04:33:43,073 - INFO - Epoch [20/60], Validation Accuracy: 0.7569
2024-12-18 04:35:36,462 - INFO - Epoch [21/60], Train Loss: 2.0394
2024-12-18 04:36:13,427 - INFO - Epoch [21/60], Validation Accuracy: 0.7627
2024-12-18 04:38:06,617 - INFO - Epoch [22/60], Train Loss: 2.0001
2024-12-18 04:38:43,549 - INFO - Epoch [22/60], Validation Accuracy: 0.7614
2024-12-18 04:40:36,404 - INFO - Epoch [23/60], Train Loss: 1.9580
2024-12-18 04:41:13,230 - INFO - Epoch [23/60], Validation Accuracy: 0.7562
2024-12-18 04:43:06,555 - INFO - Epoch [24/60], Train Loss: 1.9524
2024-12-18 04:43:43,566 - INFO - Epoch [24/60], Validation Accuracy: 0.7627
2024-12-18 04:45:37,103 - INFO - Epoch [25/60], Train Loss: 1.9286
2024-12-18 04:46:14,071 - INFO - Epoch [25/60], Validation Accuracy: 0.7614
2024-12-18 04:48:07,550 - INFO - Epoch [26/60], Train Loss: 1.8840
2024-12-18 04:48:44,508 - INFO - Epoch [26/60], Validation Accuracy: 0.7562
2024-12-18 04:50:37,926 - INFO - Epoch [27/60], Train Loss: 1.8927
2024-12-18 04:51:14,842 - INFO - Epoch [27/60], Validation Accuracy: 0.7608
2024-12-18 04:53:08,530 - INFO - Epoch [28/60], Train Loss: 1.8320
2024-12-18 04:53:45,566 - INFO - Epoch [28/60], Validation Accuracy: 0.7569
2024-12-18 04:55:38,622 - INFO - Epoch [29/60], Train Loss: 1.8441
2024-12-18 04:56:15,645 - INFO - Epoch [29/60], Validation Accuracy: 0.7686
2024-12-18 04:58:09,526 - INFO - Epoch [30/60], Train Loss: 1.8022
2024-12-18 04:58:46,582 - INFO - Epoch [30/60], Validation Accuracy: 0.7608
2024-12-18 05:00:39,073 - INFO - Epoch [31/60], Train Loss: 1.7835
2024-12-18 05:01:15,929 - INFO - Epoch [31/60], Validation Accuracy: 0.7418
2024-12-18 05:03:08,772 - INFO - Epoch [32/60], Train Loss: 1.7723
2024-12-18 05:03:45,552 - INFO - Epoch [32/60], Validation Accuracy: 0.7503
2024-12-18 05:05:39,017 - INFO - Epoch [33/60], Train Loss: 1.7462
2024-12-18 05:06:16,000 - INFO - Epoch [33/60], Validation Accuracy: 0.7516
2024-12-18 05:08:09,138 - INFO - Epoch [34/60], Train Loss: 1.7596
2024-12-18 05:08:46,185 - INFO - Epoch [34/60], Validation Accuracy: 0.7582
2024-12-18 05:10:39,353 - INFO - Epoch [35/60], Train Loss: 1.7345
2024-12-18 05:11:16,420 - INFO - Epoch [35/60], Validation Accuracy: 0.7477
2024-12-18 05:13:09,752 - INFO - Epoch [36/60], Train Loss: 1.7097
2024-12-18 05:13:46,718 - INFO - Epoch [36/60], Validation Accuracy: 0.7595
2024-12-18 05:15:39,765 - INFO - Epoch [37/60], Train Loss: 1.6907
2024-12-18 05:16:16,820 - INFO - Epoch [37/60], Validation Accuracy: 0.7471
2024-12-18 05:18:10,270 - INFO - Epoch [38/60], Train Loss: 1.6859
2024-12-18 05:18:47,233 - INFO - Epoch [38/60], Validation Accuracy: 0.7542
2024-12-18 05:20:40,668 - INFO - Epoch [39/60], Train Loss: 1.6924
2024-12-18 05:21:17,562 - INFO - Epoch [39/60], Validation Accuracy: 0.7634
2024-12-18 05:23:10,510 - INFO - Epoch [40/60], Train Loss: 1.6695
2024-12-18 05:23:47,468 - INFO - Epoch [40/60], Validation Accuracy: 0.7484
2024-12-18 05:25:40,619 - INFO - Epoch [41/60], Train Loss: 1.6590
2024-12-18 05:26:17,471 - INFO - Epoch [41/60], Validation Accuracy: 0.7569
2024-12-18 05:28:10,673 - INFO - Epoch [42/60], Train Loss: 1.6567
2024-12-18 05:28:47,591 - INFO - Epoch [42/60], Validation Accuracy: 0.7458
2024-12-18 05:30:40,929 - INFO - Epoch [43/60], Train Loss: 1.6425
2024-12-18 05:31:17,914 - INFO - Epoch [43/60], Validation Accuracy: 0.7601
2024-12-18 05:33:11,327 - INFO - Epoch [44/60], Train Loss: 1.6179
2024-12-18 05:33:48,150 - INFO - Epoch [44/60], Validation Accuracy: 0.7503
2024-12-18 05:35:41,217 - INFO - Epoch [45/60], Train Loss: 1.6289
2024-12-18 05:36:18,366 - INFO - Epoch [45/60], Validation Accuracy: 0.7595
2024-12-18 05:38:11,784 - INFO - Epoch [46/60], Train Loss: 1.6246
2024-12-18 05:38:48,642 - INFO - Epoch [46/60], Validation Accuracy: 0.7556
2024-12-18 05:40:42,101 - INFO - Epoch [47/60], Train Loss: 1.6108
2024-12-18 05:41:19,115 - INFO - Epoch [47/60], Validation Accuracy: 0.7608
2024-12-18 05:43:12,034 - INFO - Epoch [48/60], Train Loss: 1.6045
2024-12-18 05:43:48,963 - INFO - Epoch [48/60], Validation Accuracy: 0.7503
2024-12-18 05:45:42,385 - INFO - Epoch [49/60], Train Loss: 1.5566
2024-12-18 05:46:19,456 - INFO - Epoch [49/60], Validation Accuracy: 0.7529
2024-12-18 05:48:12,207 - INFO - Epoch [50/60], Train Loss: 1.5846
2024-12-18 05:48:49,214 - INFO - Epoch [50/60], Validation Accuracy: 0.7510
2024-12-18 05:50:42,394 - INFO - Epoch [51/60], Train Loss: 1.5555
2024-12-18 05:51:19,292 - INFO - Epoch [51/60], Validation Accuracy: 0.7444
2024-12-18 05:53:13,021 - INFO - Epoch [52/60], Train Loss: 1.5686
2024-12-18 05:53:49,891 - INFO - Epoch [52/60], Validation Accuracy: 0.7438
2024-12-18 05:55:42,826 - INFO - Epoch [53/60], Train Loss: 1.5338
2024-12-18 05:56:19,643 - INFO - Epoch [53/60], Validation Accuracy: 0.7464
2024-12-18 05:58:12,817 - INFO - Epoch [54/60], Train Loss: 1.5374
2024-12-18 05:58:49,748 - INFO - Epoch [54/60], Validation Accuracy: 0.7503
2024-12-18 06:00:43,143 - INFO - Epoch [55/60], Train Loss: 1.5153
2024-12-18 06:01:20,112 - INFO - Epoch [55/60], Validation Accuracy: 0.7497
2024-12-18 06:03:13,078 - INFO - Epoch [56/60], Train Loss: 1.5301
2024-12-18 06:03:49,953 - INFO - Epoch [56/60], Validation Accuracy: 0.7458
2024-12-18 06:05:42,873 - INFO - Epoch [57/60], Train Loss: 1.5433
2024-12-18 06:06:19,788 - INFO - Epoch [57/60], Validation Accuracy: 0.7523
2024-12-18 06:08:12,783 - INFO - Epoch [58/60], Train Loss: 1.5042
2024-12-18 06:08:49,791 - INFO - Epoch [58/60], Validation Accuracy: 0.7471
2024-12-18 06:10:43,142 - INFO - Epoch [59/60], Train Loss: 1.4932
2024-12-18 06:11:20,189 - INFO - Epoch [59/60], Validation Accuracy: 0.7353
2024-12-18 06:13:13,452 - INFO - Epoch [60/60], Train Loss: 1.4975
2024-12-18 06:13:50,472 - INFO - Epoch [60/60], Validation Accuracy: 0.7451
2024-12-18 06:13:50,861 - INFO - load model from: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-18 06:13:50,862 - INFO - load checkpoint from http path: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-18 06:15:43,977 - INFO - Epoch [1/60], Train Loss: 3.9248
2024-12-18 06:16:20,882 - INFO - Epoch [1/60], Validation Accuracy: 0.1837
2024-12-18 06:18:14,023 - INFO - Epoch [2/60], Train Loss: 3.7207
2024-12-18 06:18:50,932 - INFO - Epoch [2/60], Validation Accuracy: 0.4137
2024-12-18 06:20:44,195 - INFO - Epoch [3/60], Train Loss: 3.5433
2024-12-18 06:21:21,208 - INFO - Epoch [3/60], Validation Accuracy: 0.4987
2024-12-18 06:23:14,248 - INFO - Epoch [4/60], Train Loss: 3.3559
2024-12-18 06:23:51,251 - INFO - Epoch [4/60], Validation Accuracy: 0.5614
2024-12-18 06:25:45,011 - INFO - Epoch [5/60], Train Loss: 3.2185
2024-12-18 06:26:21,910 - INFO - Epoch [5/60], Validation Accuracy: 0.5908
2024-12-18 06:28:15,451 - INFO - Epoch [6/60], Train Loss: 3.0716
2024-12-18 06:28:52,054 - INFO - Epoch [6/60], Validation Accuracy: 0.6268
2024-12-18 06:30:45,281 - INFO - Epoch [7/60], Train Loss: 2.9473
2024-12-18 06:31:22,255 - INFO - Epoch [7/60], Validation Accuracy: 0.6373
2024-12-18 06:33:15,842 - INFO - Epoch [8/60], Train Loss: 2.8347
2024-12-18 06:33:52,788 - INFO - Epoch [8/60], Validation Accuracy: 0.6614
2024-12-18 06:35:46,101 - INFO - Epoch [9/60], Train Loss: 2.7028
2024-12-18 06:36:22,963 - INFO - Epoch [9/60], Validation Accuracy: 0.6627
2024-12-18 06:38:16,282 - INFO - Epoch [10/60], Train Loss: 2.6232
2024-12-18 06:38:53,403 - INFO - Epoch [10/60], Validation Accuracy: 0.6895
2024-12-18 06:40:46,173 - INFO - Epoch [11/60], Train Loss: 2.5416
2024-12-18 06:41:22,992 - INFO - Epoch [11/60], Validation Accuracy: 0.7026
2024-12-18 06:43:16,268 - INFO - Epoch [12/60], Train Loss: 2.4801
2024-12-18 06:43:53,208 - INFO - Epoch [12/60], Validation Accuracy: 0.7078
2024-12-18 06:45:46,368 - INFO - Epoch [13/60], Train Loss: 2.4222
2024-12-18 06:46:23,374 - INFO - Epoch [13/60], Validation Accuracy: 0.7190
2024-12-18 06:48:16,503 - INFO - Epoch [14/60], Train Loss: 2.3628
2024-12-18 06:48:53,493 - INFO - Epoch [14/60], Validation Accuracy: 0.7444
