2024-12-15 03:12:40,512 - INFO - load model from: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-15 03:12:40,513 - INFO - load checkpoint from http path: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-15 03:14:39,777 - INFO - Epoch [1/60], Train Loss: 3.9170
2024-12-15 03:15:15,777 - INFO - Epoch [1/60], Validation Accuracy: 0.2444
2024-12-15 03:17:08,916 - INFO - Epoch [2/60], Train Loss: 3.7691
2024-12-15 03:17:44,896 - INFO - Epoch [2/60], Validation Accuracy: 0.4013
2024-12-15 03:19:37,976 - INFO - Epoch [3/60], Train Loss: 3.6314
2024-12-15 03:20:14,354 - INFO - Epoch [3/60], Validation Accuracy: 0.4745
2024-12-15 03:22:06,772 - INFO - Epoch [4/60], Train Loss: 3.5115
2024-12-15 03:22:43,187 - INFO - Epoch [4/60], Validation Accuracy: 0.4810
2024-12-15 03:24:35,915 - INFO - Epoch [5/60], Train Loss: 3.4038
2024-12-15 03:25:12,468 - INFO - Epoch [5/60], Validation Accuracy: 0.5085
2024-12-15 03:27:05,270 - INFO - Epoch [6/60], Train Loss: 3.2932
2024-12-15 03:27:41,861 - INFO - Epoch [6/60], Validation Accuracy: 0.5399
2024-12-15 03:29:34,365 - INFO - Epoch [7/60], Train Loss: 3.2190
2024-12-15 03:30:10,828 - INFO - Epoch [7/60], Validation Accuracy: 0.5680
2024-12-15 03:32:03,897 - INFO - Epoch [8/60], Train Loss: 3.1307
2024-12-15 03:32:40,544 - INFO - Epoch [8/60], Validation Accuracy: 0.5928
2024-12-15 03:34:33,474 - INFO - Epoch [9/60], Train Loss: 3.0555
2024-12-15 03:35:10,181 - INFO - Epoch [9/60], Validation Accuracy: 0.6052
2024-12-15 03:37:03,163 - INFO - Epoch [10/60], Train Loss: 2.9925
2024-12-15 03:37:39,587 - INFO - Epoch [10/60], Validation Accuracy: 0.6176
2024-12-15 03:39:32,537 - INFO - Epoch [11/60], Train Loss: 2.9280
2024-12-15 03:40:09,250 - INFO - Epoch [11/60], Validation Accuracy: 0.6484
2024-12-15 03:42:02,095 - INFO - Epoch [12/60], Train Loss: 2.8814
2024-12-15 03:42:38,822 - INFO - Epoch [12/60], Validation Accuracy: 0.6621
2024-12-15 03:44:31,478 - INFO - Epoch [13/60], Train Loss: 2.8411
2024-12-15 03:45:08,062 - INFO - Epoch [13/60], Validation Accuracy: 0.6699
2024-12-15 03:47:00,868 - INFO - Epoch [14/60], Train Loss: 2.7831
2024-12-15 03:47:37,486 - INFO - Epoch [14/60], Validation Accuracy: 0.6850
2024-12-15 03:49:30,559 - INFO - Epoch [15/60], Train Loss: 2.7314
