2024-12-13 03:54:04,852 - INFO - load model from: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-13 03:54:04,853 - INFO - load checkpoint from http path: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-13 03:56:02,664 - INFO - Epoch [1/60], Train Loss: 3.9459
2024-12-13 03:56:38,638 - INFO - Epoch [1/60], Validation Accuracy: 0.0948
2024-12-13 03:58:32,602 - INFO - Epoch [2/60], Train Loss: 3.8522
2024-12-13 03:59:08,853 - INFO - Epoch [2/60], Validation Accuracy: 0.2882
2024-12-13 04:01:02,576 - INFO - Epoch [3/60], Train Loss: 3.7460
2024-12-13 04:01:39,106 - INFO - Epoch [3/60], Validation Accuracy: 0.3268
2024-12-13 04:03:32,112 - INFO - Epoch [4/60], Train Loss: 3.6374
2024-12-13 04:04:09,079 - INFO - Epoch [4/60], Validation Accuracy: 0.3758
2024-12-13 04:06:02,896 - INFO - Epoch [5/60], Train Loss: 3.5663
2024-12-13 04:06:39,515 - INFO - Epoch [5/60], Validation Accuracy: 0.3993
2024-12-13 04:08:32,839 - INFO - Epoch [6/60], Train Loss: 3.4935
2024-12-13 04:09:09,425 - INFO - Epoch [6/60], Validation Accuracy: 0.4229
2024-12-13 04:11:02,778 - INFO - Epoch [7/60], Train Loss: 3.4060
2024-12-13 04:11:39,457 - INFO - Epoch [7/60], Validation Accuracy: 0.4569
2024-12-13 04:13:33,315 - INFO - Epoch [8/60], Train Loss: 3.3412
2024-12-13 04:14:10,149 - INFO - Epoch [8/60], Validation Accuracy: 0.4732
2024-12-13 04:16:03,886 - INFO - Epoch [9/60], Train Loss: 3.2680
2024-12-13 04:16:40,774 - INFO - Epoch [9/60], Validation Accuracy: 0.5137
2024-12-13 04:18:34,363 - INFO - Epoch [10/60], Train Loss: 3.2317
2024-12-13 04:19:11,014 - INFO - Epoch [10/60], Validation Accuracy: 0.5484
2024-12-13 04:21:04,434 - INFO - Epoch [11/60], Train Loss: 3.1453
2024-12-13 04:21:41,210 - INFO - Epoch [11/60], Validation Accuracy: 0.5608
2024-12-13 04:23:34,700 - INFO - Epoch [12/60], Train Loss: 3.0902
2024-12-13 04:24:11,587 - INFO - Epoch [12/60], Validation Accuracy: 0.5660
2024-12-13 04:26:05,201 - INFO - Epoch [13/60], Train Loss: 3.0633
2024-12-13 04:26:41,862 - INFO - Epoch [13/60], Validation Accuracy: 0.5863
2024-12-13 04:28:35,608 - INFO - Epoch [14/60], Train Loss: 3.0069
2024-12-13 04:29:12,311 - INFO - Epoch [14/60], Validation Accuracy: 0.6046
2024-12-13 04:31:05,856 - INFO - Epoch [15/60], Train Loss: 2.9663
2024-12-13 04:31:42,607 - INFO - Epoch [15/60], Validation Accuracy: 0.6111
2024-12-13 04:33:35,802 - INFO - Epoch [16/60], Train Loss: 2.9150
2024-12-13 04:34:12,756 - INFO - Epoch [16/60], Validation Accuracy: 0.6353
2024-12-13 04:36:06,260 - INFO - Epoch [17/60], Train Loss: 2.8928
2024-12-13 04:36:42,773 - INFO - Epoch [17/60], Validation Accuracy: 0.6451
2024-12-13 04:38:35,961 - INFO - Epoch [18/60], Train Loss: 2.8603
2024-12-13 04:39:12,591 - INFO - Epoch [18/60], Validation Accuracy: 0.6477
2024-12-13 04:41:06,145 - INFO - Epoch [19/60], Train Loss: 2.8143
2024-12-13 04:41:42,816 - INFO - Epoch [19/60], Validation Accuracy: 0.6562
2024-12-13 04:43:36,105 - INFO - Epoch [20/60], Train Loss: 2.7848
2024-12-13 04:44:12,947 - INFO - Epoch [20/60], Validation Accuracy: 0.6549
2024-12-13 04:46:05,882 - INFO - Epoch [21/60], Train Loss: 2.7442
2024-12-13 04:46:42,520 - INFO - Epoch [21/60], Validation Accuracy: 0.6732
2024-12-13 04:48:35,973 - INFO - Epoch [22/60], Train Loss: 2.6973
2024-12-13 04:49:12,750 - INFO - Epoch [22/60], Validation Accuracy: 0.6725
2024-12-13 04:51:06,024 - INFO - Epoch [23/60], Train Loss: 2.6989
2024-12-13 04:51:42,748 - INFO - Epoch [23/60], Validation Accuracy: 0.6810
2024-12-13 04:53:36,013 - INFO - Epoch [24/60], Train Loss: 2.6620
2024-12-13 04:54:12,745 - INFO - Epoch [24/60], Validation Accuracy: 0.6706
2024-12-13 04:56:06,148 - INFO - Epoch [25/60], Train Loss: 2.6592
2024-12-13 04:56:42,863 - INFO - Epoch [25/60], Validation Accuracy: 0.6882
2024-12-13 04:58:36,228 - INFO - Epoch [26/60], Train Loss: 2.6125
2024-12-13 04:59:12,835 - INFO - Epoch [26/60], Validation Accuracy: 0.6948
2024-12-13 05:01:06,045 - INFO - Epoch [27/60], Train Loss: 2.5958
2024-12-13 05:01:43,011 - INFO - Epoch [27/60], Validation Accuracy: 0.7020
2024-12-13 05:03:36,149 - INFO - Epoch [28/60], Train Loss: 2.5627
2024-12-13 05:04:12,839 - INFO - Epoch [28/60], Validation Accuracy: 0.7052
2024-12-13 05:06:06,041 - INFO - Epoch [29/60], Train Loss: 2.5722
2024-12-13 05:06:42,747 - INFO - Epoch [29/60], Validation Accuracy: 0.7065
2024-12-13 05:08:36,182 - INFO - Epoch [30/60], Train Loss: 2.5181
2024-12-13 05:09:12,937 - INFO - Epoch [30/60], Validation Accuracy: 0.6902
2024-12-13 05:11:06,139 - INFO - Epoch [31/60], Train Loss: 2.5140
2024-12-13 05:11:42,990 - INFO - Epoch [31/60], Validation Accuracy: 0.6954
2024-12-13 05:13:36,262 - INFO - Epoch [32/60], Train Loss: 2.4824
2024-12-13 05:14:12,797 - INFO - Epoch [32/60], Validation Accuracy: 0.6980
2024-12-13 05:16:05,992 - INFO - Epoch [33/60], Train Loss: 2.4406
2024-12-13 05:16:42,599 - INFO - Epoch [33/60], Validation Accuracy: 0.6928
2024-12-13 05:18:35,939 - INFO - Epoch [34/60], Train Loss: 2.4601
2024-12-13 05:19:12,600 - INFO - Epoch [34/60], Validation Accuracy: 0.7065
2024-12-13 05:19:12,617 - INFO - Early stopping at epoch 34 due to no improvement in validation accuracy.
2024-12-13 05:19:12,975 - INFO - load model from: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-13 05:19:12,976 - INFO - load checkpoint from http path: https://download.openmmlab.com/mmaction/recognition/csn/ircsn_from_scratch_r50_ig65m_20210617-ce545a37.pth
2024-12-13 05:21:06,087 - INFO - Epoch [1/60], Train Loss: 3.9404
2024-12-13 05:21:42,828 - INFO - Epoch [1/60], Validation Accuracy: 0.1392
2024-12-13 05:23:35,802 - INFO - Epoch [2/60], Train Loss: 3.8311
2024-12-13 05:24:12,605 - INFO - Epoch [2/60], Validation Accuracy: 0.3026
2024-12-13 05:26:05,604 - INFO - Epoch [3/60], Train Loss: 3.7126
2024-12-13 05:26:42,295 - INFO - Epoch [3/60], Validation Accuracy: 0.3562
2024-12-13 05:28:35,416 - INFO - Epoch [4/60], Train Loss: 3.6234
2024-12-13 05:29:12,239 - INFO - Epoch [4/60], Validation Accuracy: 0.4020
2024-12-13 05:31:05,325 - INFO - Epoch [5/60], Train Loss: 3.5266
2024-12-13 05:31:42,142 - INFO - Epoch [5/60], Validation Accuracy: 0.4327
2024-12-13 05:33:35,329 - INFO - Epoch [6/60], Train Loss: 3.4577
2024-12-13 05:34:12,070 - INFO - Epoch [6/60], Validation Accuracy: 0.4510
2024-12-13 05:36:05,224 - INFO - Epoch [7/60], Train Loss: 3.3611
