epoch,train_loss,val_loss,accuracy,avg_f1,type
1,3.9236748490557574,3.7028619865966,0.26143790849673204,0.20811287738934917,baseline
2,3.724233175017423,3.1873520533682083,0.39477124183006534,0.32459136821508655,baseline
3,3.542396837166225,2.814552265059909,0.4830065359477124,0.4097627859194832,baseline
4,3.3846055127896983,2.5023724921899877,0.5,0.4237191038369161,baseline
5,3.254401164300223,2.277755965122168,0.5424836601307189,0.4721670205041413,baseline
6,3.1196266708758054,2.0663817572090517,0.5718954248366013,0.51226771880628,baseline
7,2.9898581008783123,1.8394950233199756,0.6,0.543205895046628,baseline
8,2.90469994160953,1.6970440075589674,0.6281045751633987,0.5712455367721642,baseline
9,2.799448260524929,1.5841391463019676,0.6549019607843137,0.6029513606252119,baseline
10,2.701428670744501,1.4663924252585274,0.673202614379085,0.6288354759659338,baseline
11,2.6367170026638362,1.3446835130023687,0.6830065359477124,0.6384326584885033,baseline
12,2.531704302868854,1.2597946098852808,0.7006535947712418,0.6634557695498714,baseline
13,2.468215850108955,1.239862746706676,0.7124183006535948,0.6843772795186879,baseline
14,2.414217651423725,1.1675612746047204,0.7222222222222222,0.6905582932512875,baseline
15,2.3635637242788703,1.1014370205945692,0.7281045751633987,0.7000002315852393,baseline
16,2.334723123768032,1.1009324111381098,0.7359477124183007,0.7095529582533534,baseline
17,2.3070930705241177,1.0558573176792148,0.7450980392156863,0.7249232229802137,baseline
18,2.334589835781379,1.0102110989078557,0.7522875816993464,0.72910796731419,baseline
19,2.1581763505135605,0.9904973409176522,0.74640522875817,0.7253030370921597,baseline
20,2.189190916033666,1.0023446964186078,0.7555555555555555,0.7361879621281733,baseline
21,2.1502884474376702,1.004170246979905,0.7516339869281046,0.7287329683401516,baseline
22,2.1241442498478045,0.9416024177802196,0.75359477124183,0.732456722406825,baseline
23,2.099879780471725,0.9435935069269119,0.7601307189542483,0.7389090918402484,baseline
24,2.058799183875389,0.8995091273170782,0.761437908496732,0.7439035987094327,baseline
25,2.0384959662520648,0.9391429553846821,0.7562091503267974,0.7372671432355523,baseline
26,2.011451480505984,0.9149561592681862,0.7549019607843137,0.7404937167150996,baseline
27,1.9939699573004805,0.8987380394549642,0.7679738562091504,0.7510071189454649,baseline
28,1.9921329510825325,0.8891394273536986,0.7601307189542483,0.7464966734161346,baseline
29,1.9521743987230646,0.8956465064293678,0.7581699346405228,0.7444560451257252,baseline
30,1.9036494319470936,0.8928822875664647,0.7555555555555555,0.740194018320916,baseline
31,1.9565371012260984,0.8833944078979389,0.7607843137254902,0.7487070936390094,baseline
32,1.8775853705352852,0.9059276637510706,0.7529411764705882,0.7363921673502207,baseline
33,1.848685887769298,0.8855957281913113,0.7594771241830065,0.7469402933803775,baseline
34,1.9011850079700718,0.8773021667070187,0.7666666666666667,0.7547538004426548,baseline
35,1.896285262750566,0.8975914057312051,0.7588235294117647,0.747068953240731,baseline
36,1.8833200082149548,0.9303795156152227,0.7509803921568627,0.7391139625329926,baseline
37,1.8349465451117863,0.900365340226451,0.7562091503267974,0.7433226448268937,baseline
38,1.8287427064689747,0.9016662393811595,0.7555555555555555,0.742275470168162,baseline
